REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,25 to 29 years,111.8.8,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,30 to 34 years,111.8.9,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,35 to 44 years,111.8.10,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,45 to 54 years,111.8.11,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,55 to 64 years,111.8.12,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,65 years and over,111.8.13,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,65 to 74 years,111.8.14,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. H",2021A00051002016,Unemployment rate,75 years and over,111.8.15,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,Total - Age,112.1.1,135,,75,,65,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,15 to 24 years,112.1.2,10,,10,,0,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,15 to 19 years,112.1.3,10,,10,,0,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,20 to 24 years,112.1.4,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,25 to 64 years,112.1.5,60,,30,,35,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,25 to 54 years,112.1.6,35,,20,,20,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,25 to 34 years,112.1.7,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,25 to 29 years,112.1.8,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,30 to 34 years,112.1.9,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,35 to 44 years,112.1.10,15,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,45 to 54 years,112.1.11,15,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,55 to 64 years,112.1.12,25,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,65 years and over,112.1.13,65,,35,,30,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,65 to 74 years,112.1.14,45,,25,,20,
2021,Frenchman's Cove,2021A00051002017,Total - Labour force status,75 years and over,112.1.15,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,In the labour force,Total - Age,112.2.1,55,,30,,25,
2021,Frenchman's Cove,2021A00051002017,In the labour force,15 to 24 years,112.2.2,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,15 to 19 years,112.2.3,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,20 to 24 years,112.2.4,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,25 to 64 years,112.2.5,40,,20,,20,
2021,Frenchman's Cove,2021A00051002017,In the labour force,25 to 54 years,112.2.6,30,,10,,15,
2021,Frenchman's Cove,2021A00051002017,In the labour force,25 to 34 years,112.2.7,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,25 to 29 years,112.2.8,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,30 to 34 years,112.2.9,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,35 to 44 years,112.2.10,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,In the labour force,45 to 54 years,112.2.11,15,,10,,10,
2021,Frenchman's Cove,2021A00051002017,In the labour force,55 to 64 years,112.2.12,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,In the labour force,65 years and over,112.2.13,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,65 to 74 years,112.2.14,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,In the labour force,75 years and over,112.2.15,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,Total - Age,112.3.1,50,,30,,25,
2021,Frenchman's Cove,2021A00051002017,Employed,15 to 24 years,112.3.2,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,15 to 19 years,112.3.3,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,20 to 24 years,112.3.4,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,25 to 64 years,112.3.5,40,,20,,20,
2021,Frenchman's Cove,2021A00051002017,Employed,25 to 54 years,112.3.6,20,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Employed,25 to 34 years,112.3.7,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,25 to 29 years,112.3.8,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,30 to 34 years,112.3.9,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,35 to 44 years,112.3.10,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,45 to 54 years,112.3.11,15,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Employed,55 to 64 years,112.3.12,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,Employed,65 years and over,112.3.13,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,65 to 74 years,112.3.14,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Employed,75 years and over,112.3.15,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,Total - Age,112.4.1,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,15 to 24 years,112.4.2,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,15 to 19 years,112.4.3,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,20 to 24 years,112.4.4,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,25 to 64 years,112.4.5,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,25 to 54 years,112.4.6,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,25 to 34 years,112.4.7,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,25 to 29 years,112.4.8,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,30 to 34 years,112.4.9,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,35 to 44 years,112.4.10,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,45 to 54 years,112.4.11,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,55 to 64 years,112.4.12,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,65 years and over,112.4.13,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,65 to 74 years,112.4.14,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Unemployed,75 years and over,112.4.15,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,Total - Age,112.5.1,80,,40,,35,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,15 to 24 years,112.5.2,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,15 to 19 years,112.5.3,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,20 to 24 years,112.5.4,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,25 to 64 years,112.5.5,25,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,25 to 54 years,112.5.6,15,,10,,10,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,25 to 34 years,112.5.7,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,25 to 29 years,112.5.8,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,30 to 34 years,112.5.9,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,35 to 44 years,112.5.10,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,45 to 54 years,112.5.11,0,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,55 to 64 years,112.5.12,10,,0,,0,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,65 years and over,112.5.13,50,,25,,25,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,65 to 74 years,112.5.14,40,,25,,15,
2021,Frenchman's Cove,2021A00051002017,Not in the labour force,75 years and over,112.5.15,10,,0,,10,
2021,Frenchman's Cove,2021A00051002017,Participation rate,Total - Age,112.6.1,40.7,,40.0,,38.5,
2021,Frenchman's Cove,2021A00051002017,Participation rate,15 to 24 years,112.6.2,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,15 to 19 years,112.6.3,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,20 to 24 years,112.6.4,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,25 to 64 years,112.6.5,66.7,,66.7,,57.1,
2021,Frenchman's Cove,2021A00051002017,Participation rate,25 to 54 years,112.6.6,85.7,,50.0,,75.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,25 to 34 years,112.6.7,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,25 to 29 years,112.6.8,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,30 to 34 years,112.6.9,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,35 to 44 years,112.6.10,66.7,,0.0,,100.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,45 to 54 years,112.6.11,100.0,,100.0,,100.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,55 to 64 years,112.6.12,40.0,,0.0,,100.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,65 years and over,112.6.13,15.4,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,65 to 74 years,112.6.14,22.2,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Participation rate,75 years and over,112.6.15,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,Total - Age,112.7.1,37.0,,40.0,,38.5,
2021,Frenchman's Cove,2021A00051002017,Employment rate,15 to 24 years,112.7.2,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,15 to 19 years,112.7.3,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,20 to 24 years,112.7.4,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,25 to 64 years,112.7.5,66.7,,66.7,,57.1,
2021,Frenchman's Cove,2021A00051002017,Employment rate,25 to 54 years,112.7.6,57.1,,50.0,,50.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,25 to 34 years,112.7.7,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,25 to 29 years,112.7.8,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,30 to 34 years,112.7.9,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,35 to 44 years,112.7.10,66.7,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,45 to 54 years,112.7.11,100.0,,100.0,,100.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,55 to 64 years,112.7.12,40.0,,0.0,,100.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,65 years and over,112.7.13,15.4,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,65 to 74 years,112.7.14,22.2,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Employment rate,75 years and over,112.7.15,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,Total - Age,112.8.1,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,15 to 24 years,112.8.2,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,15 to 19 years,112.8.3,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,20 to 24 years,112.8.4,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,25 to 64 years,112.8.5,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,25 to 54 years,112.8.6,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,25 to 34 years,112.8.7,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,25 to 29 years,112.8.8,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,30 to 34 years,112.8.9,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,35 to 44 years,112.8.10,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,45 to 54 years,112.8.11,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,55 to 64 years,112.8.12,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,65 years and over,112.8.13,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,65 to 74 years,112.8.14,0.0,,0.0,,0.0,
2021,Frenchman's Cove,2021A00051002017,Unemployment rate,75 years and over,112.8.15,0.0,,0.0,,0.0,
2021,Fortune,2021A00051002018,Total - Labour force status,Total - Age,113.1.1,1130,,535,,590,
2021,Fortune,2021A00051002018,Total - Labour force status,15 to 24 years,113.1.2,115,,65,,50,
2021,Fortune,2021A00051002018,Total - Labour force status,15 to 19 years,113.1.3,70,,30,,40,
2021,Fortune,2021A00051002018,Total - Labour force status,20 to 24 years,113.1.4,45,,30,,15,
2021,Fortune,2021A00051002018,Total - Labour force status,25 to 64 years,113.1.5,565,,265,,305,
2021,Fortune,2021A00051002018,Total - Labour force status,25 to 54 years,113.1.6,370,,165,,205,
2021,Fortune,2021A00051002018,Total - Labour force status,25 to 34 years,113.1.7,85,,45,,45,
2021,Fortune,2021A00051002018,Total - Labour force status,25 to 29 years,113.1.8,40,,15,,25,
2021,Fortune,2021A00051002018,Total - Labour force status,30 to 34 years,113.1.9,40,,25,,20,
2021,Fortune,2021A00051002018,Total - Labour force status,35 to 44 years,113.1.10,135,,55,,85,
2021,Fortune,2021A00051002018,Total - Labour force status,45 to 54 years,113.1.11,150,,70,,85,
2021,Fortune,2021A00051002018,Total - Labour force status,55 to 64 years,113.1.12,195,,95,,100,
2021,Fortune,2021A00051002018,Total - Labour force status,65 years and over,113.1.13,450,,210,,245,
2021,Fortune,2021A00051002018,Total - Labour force status,65 to 74 years,113.1.14,285,,130,,150,
2021,Fortune,2021A00051002018,Total - Labour force status,75 years and over,113.1.15,160,,75,,90,
2021,Fortune,2021A00051002018,In the labour force,Total - Age,113.2.1,510,,285,,225,
2021,Fortune,2021A00051002018,In the labour force,15 to 24 years,113.2.2,30,,15,,15,
2021,Fortune,2021A00051002018,In the labour force,15 to 19 years,113.2.3,10,,0,,10,
2021,Fortune,2021A00051002018,In the labour force,20 to 24 years,113.2.4,25,,15,,10,
2021,Fortune,2021A00051002018,In the labour force,25 to 64 years,113.2.5,425,,220,,210,
2021,Fortune,2021A00051002018,In the labour force,25 to 54 years,113.2.6,300,,140,,160,
2021,Fortune,2021A00051002018,In the labour force,25 to 34 years,113.2.7,60,,30,,30,
2021,Fortune,2021A00051002018,In the labour force,25 to 29 years,113.2.8,40,,15,,20,
2021,Fortune,2021A00051002018,In the labour force,30 to 34 years,113.2.9,25,,10,,10,
2021,Fortune,2021A00051002018,In the labour force,35 to 44 years,113.2.10,105,,50,,60,
2021,Fortune,2021A00051002018,In the labour force,45 to 54 years,113.2.11,135,,60,,75,
2021,Fortune,2021A00051002018,In the labour force,55 to 64 years,113.2.12,130,,80,,45,
2021,Fortune,2021A00051002018,In the labour force,65 years and over,113.2.13,55,,55,,0,
2021,Fortune,2021A00051002018,In the labour force,65 to 74 years,113.2.14,40,,40,,0,
2021,Fortune,2021A00051002018,In the labour force,75 years and over,113.2.15,10,,10,,0,
2021,Fortune,2021A00051002018,Employed,Total - Age,113.3.1,405,,240,,170,
2021,Fortune,2021A00051002018,Employed,15 to 24 years,113.3.2,15,,10,,0,
2021,Fortune,2021A00051002018,Employed,15 to 19 years,113.3.3,0,,0,,0,
2021,Fortune,2021A00051002018,Employed,20 to 24 years,113.3.4,10,,0,,0,
2021,Fortune,2021A00051002018,Employed,25 to 64 years,113.3.5,355,,195,,160,
2021,Fortune,2021A00051002018,Employed,25 to 54 years,113.3.6,240,,120,,115,
2021,Fortune,2021A00051002018,Employed,25 to 34 years,113.3.7,45,,25,,25,
2021,Fortune,2021A00051002018,Employed,25 to 29 years,113.3.8,25,,10,,15,
2021,Fortune,2021A00051002018,Employed,30 to 34 years,113.3.9,25,,10,,10,
2021,Fortune,2021A00051002018,Employed,35 to 44 years,113.3.10,80,,45,,35,
2021,Fortune,2021A00051002018,Employed,45 to 54 years,113.3.11,110,,55,,60,
2021,Fortune,2021A00051002018,Employed,55 to 64 years,113.3.12,115,,70,,40,
2021,Fortune,2021A00051002018,Employed,65 years and over,113.3.13,35,,35,,0,
2021,Fortune,2021A00051002018,Employed,65 to 74 years,113.3.14,30,,30,,0,
2021,Fortune,2021A00051002018,Employed,75 years and over,113.3.15,10,,10,,0,
2021,Fortune,2021A00051002018,Unemployed,Total - Age,113.4.1,105,,50,,60,
2021,Fortune,2021A00051002018,Unemployed,15 to 24 years,113.4.2,15,,0,,10,
2021,Fortune,2021A00051002018,Unemployed,15 to 19 years,113.4.3,0,,0,,0,
2021,Fortune,2021A00051002018,Unemployed,20 to 24 years,113.4.4,10,,0,,0,
2021,Fortune,2021A00051002018,Unemployed,25 to 64 years,113.4.5,75,,25,,45,
2021,Fortune,2021A00051002018,Unemployed,25 to 54 years,113.4.6,60,,15,,40,
2021,Fortune,2021A00051002018,Unemployed,25 to 34 years,113.4.7,10,,10,,0,
2021,Fortune,2021A00051002018,Unemployed,25 to 29 years,113.4.8,10,,10,,0,
2021,Fortune,2021A00051002018,Unemployed,30 to 34 years,113.4.9,0,,0,,0,
2021,Fortune,2021A00051002018,Unemployed,35 to 44 years,113.4.10,25,,0,,25,
2021,Fortune,2021A00051002018,Unemployed,45 to 54 years,113.4.11,20,,0,,15,
2021,Fortune,2021A00051002018,Unemployed,55 to 64 years,113.4.12,15,,10,,0,
2021,Fortune,2021A00051002018,Unemployed,65 years and over,113.4.13,15,,15,,0,
2021,Fortune,2021A00051002018,Unemployed,65 to 74 years,113.4.14,10,,10,,0,
2021,Fortune,2021A00051002018,Unemployed,75 years and over,113.4.15,0,,0,,0,
2021,Fortune,2021A00051002018,Not in the labour force,Total - Age,113.5.1,620,,250,,370,
2021,Fortune,2021A00051002018,Not in the labour force,15 to 24 years,113.5.2,85,,50,,35,
2021,Fortune,2021A00051002018,Not in the labour force,15 to 19 years,113.5.3,65,,30,,35,
2021,Fortune,2021A00051002018,Not in the labour force,20 to 24 years,113.5.4,20,,20,,0,
2021,Fortune,2021A00051002018,Not in the labour force,25 to 64 years,113.5.5,135,,40,,95,
2021,Fortune,2021A00051002018,Not in the labour force,25 to 54 years,113.5.6,70,,25,,40,
2021,Fortune,2021A00051002018,Not in the labour force,25 to 34 years,113.5.7,25,,10,,10,
2021,Fortune,2021A00051002018,Not in the labour force,25 to 29 years,113.5.8,0,,0,,0,
2021,Fortune,2021A00051002018,Not in the labour force,30 to 34 years,113.5.9,20,,10,,0,
2021,Fortune,2021A00051002018,Not in the labour force,35 to 44 years,113.5.10,30,,0,,25,
2021,Fortune,2021A00051002018,Not in the labour force,45 to 54 years,113.5.11,20,,10,,10,
2021,Fortune,2021A00051002018,Not in the labour force,55 to 64 years,113.5.12,65,,15,,50,
2021,Fortune,2021A00051002018,Not in the labour force,65 years and over,113.5.13,395,,155,,245,
2021,Fortune,2021A00051002018,Not in the labour force,65 to 74 years,113.5.14,250,,95,,150,
2021,Fortune,2021A00051002018,Not in the labour force,75 years and over,113.5.15,150,,60,,90,
2021,Fortune,2021A00051002018,Participation rate,Total - Age,113.6.1,45.1,,53.3,,38.1,
2021,Fortune,2021A00051002018,Participation rate,15 to 24 years,113.6.2,26.1,,23.1,,30.0,
2021,Fortune,2021A00051002018,Participation rate,15 to 19 years,113.6.3,14.3,,0.0,,25.0,
2021,Fortune,2021A00051002018,Participation rate,20 to 24 years,113.6.4,55.6,,50.0,,66.7,
2021,Fortune,2021A00051002018,Participation rate,25 to 64 years,113.6.5,75.2,,83.0,,68.9,
2021,Fortune,2021A00051002018,Participation rate,25 to 54 years,113.6.6,81.1,,84.8,,78.0,
2021,Fortune,2021A00051002018,Participation rate,25 to 34 years,113.6.7,70.6,,66.7,,66.7,
2021,Fortune,2021A00051002018,Participation rate,25 to 29 years,113.6.8,100.0,,100.0,,80.0,
2021,Fortune,2021A00051002018,Participation rate,30 to 34 years,113.6.9,62.5,,40.0,,50.0,
2021,Fortune,2021A00051002018,Participation rate,35 to 44 years,113.6.10,77.8,,90.9,,70.6,
2021,Fortune,2021A00051002018,Participation rate,45 to 54 years,113.6.11,90.0,,85.7,,88.2,
2021,Fortune,2021A00051002018,Participation rate,55 to 64 years,113.6.12,66.7,,84.2,,45.0,
2021,Fortune,2021A00051002018,Participation rate,65 years and over,113.6.13,12.2,,26.2,,0.0,
2021,Fortune,2021A00051002018,Participation rate,65 to 74 years,113.6.14,14.0,,30.8,,0.0,
2021,Fortune,2021A00051002018,Participation rate,75 years and over,113.6.15,6.3,,13.3,,0.0,
2021,Fortune,2021A00051002018,Employment rate,Total - Age,113.7.1,35.8,,44.9,,28.8,
2021,Fortune,2021A00051002018,Employment rate,15 to 24 years,113.7.2,13.0,,15.4,,0.0,
2021,Fortune,2021A00051002018,Employment rate,15 to 19 years,113.7.3,0.0,,0.0,,0.0,
2021,Fortune,2021A00051002018,Employment rate,20 to 24 years,113.7.4,22.2,,0.0,,0.0,
2021,Fortune,2021A00051002018,Employment rate,25 to 64 years,113.7.5,62.8,,73.6,,52.5,
2021,Fortune,2021A00051002018,Employment rate,25 to 54 years,113.7.6,64.9,,72.7,,56.1,
2021,Fortune,2021A00051002018,Employment rate,25 to 34 years,113.7.7,52.9,,55.6,,55.6,
2021,Fortune,2021A00051002018,Employment rate,25 to 29 years,113.7.8,62.5,,66.7,,60.0,
2021,Fortune,2021A00051002018,Employment rate,30 to 34 years,113.7.9,62.5,,40.0,,50.0,
2021,Fortune,2021A00051002018,Employment rate,35 to 44 years,113.7.10,59.3,,81.8,,41.2,
2021,Fortune,2021A00051002018,Employment rate,45 to 54 years,113.7.11,73.3,,78.6,,70.6,
2021,Fortune,2021A00051002018,Employment rate,55 to 64 years,113.7.12,59.0,,73.7,,40.0,
2021,Fortune,2021A00051002018,Employment rate,65 years and over,113.7.13,7.8,,16.7,,0.0,
2021,Fortune,2021A00051002018,Employment rate,65 to 74 years,113.7.14,10.5,,23.1,,0.0,
2021,Fortune,2021A00051002018,Employment rate,75 years and over,113.7.15,6.3,,13.3,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,Total - Age,113.8.1,20.6,,17.5,,26.7,
2021,Fortune,2021A00051002018,Unemployment rate,15 to 24 years,113.8.2,50.0,,0.0,,66.7,
2021,Fortune,2021A00051002018,Unemployment rate,15 to 19 years,113.8.3,0.0,,0.0,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,20 to 24 years,113.8.4,40.0,,0.0,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,25 to 64 years,113.8.5,17.6,,11.4,,21.4,
2021,Fortune,2021A00051002018,Unemployment rate,25 to 54 years,113.8.6,20.0,,10.7,,25.0,
2021,Fortune,2021A00051002018,Unemployment rate,25 to 34 years,113.8.7,16.7,,33.3,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,25 to 29 years,113.8.8,25.0,,66.7,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,30 to 34 years,113.8.9,0.0,,0.0,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,35 to 44 years,113.8.10,23.8,,0.0,,41.7,
2021,Fortune,2021A00051002018,Unemployment rate,45 to 54 years,113.8.11,14.8,,0.0,,20.0,
2021,Fortune,2021A00051002018,Unemployment rate,55 to 64 years,113.8.12,11.5,,12.5,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,65 years and over,113.8.13,27.3,,27.3,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,65 to 74 years,113.8.14,25.0,,25.0,,0.0,
2021,Fortune,2021A00051002018,Unemployment rate,75 years and over,113.8.15,0.0,,0.0,,0.0,
2021,Grand Bank,2021A00051002019,Total - Labour force status,Total - Age,114.1.1,1870,,915,,955,
2021,Grand Bank,2021A00051002019,Total - Labour force status,15 to 24 years,114.1.2,160,,100,,60,
2021,Grand Bank,2021A00051002019,Total - Labour force status,15 to 19 years,114.1.3,80,,40,,35,
2021,Grand Bank,2021A00051002019,Total - Labour force status,20 to 24 years,114.1.4,80,,60,,25,
2021,Grand Bank,2021A00051002019,Total - Labour force status,25 to 64 years,114.1.5,985,,470,,515,
2021,Grand Bank,2021A00051002019,Total - Labour force status,25 to 54 years,114.1.6,545,,250,,295,
2021,Grand Bank,2021A00051002019,Total - Labour force status,25 to 34 years,114.1.7,110,,45,,60,
2021,Grand Bank,2021A00051002019,Total - Labour force status,25 to 29 years,114.1.8,45,,15,,30,
2021,Grand Bank,2021A00051002019,Total - Labour force status,30 to 34 years,114.1.9,55,,30,,30,
2021,Grand Bank,2021A00051002019,Total - Labour force status,35 to 44 years,114.1.10,170,,80,,95,
2021,Grand Bank,2021A00051002019,Total - Labour force status,45 to 54 years,114.1.11,260,,130,,135,
2021,Grand Bank,2021A00051002019,Total - Labour force status,55 to 64 years,114.1.12,435,,215,,225,
2021,Grand Bank,2021A00051002019,Total - Labour force status,65 years and over,114.1.13,725,,345,,375,
2021,Grand Bank,2021A00051002019,Total - Labour force status,65 to 74 years,114.1.14,420,,215,,205,
2021,Grand Bank,2021A00051002019,Total - Labour force status,75 years and over,114.1.15,310,,135,,175,
2021,Grand Bank,2021A00051002019,In the labour force,Total - Age,114.2.1,820,,390,,430,
2021,Grand Bank,2021A00051002019,In the labour force,15 to 24 years,114.2.2,75,,40,,35,
2021,Grand Bank,2021A00051002019,In the labour force,15 to 19 years,114.2.3,30,,10,,20,
2021,Grand Bank,2021A00051002019,In the labour force,20 to 24 years,114.2.4,45,,35,,15,
2021,Grand Bank,2021A00051002019,In the labour force,25 to 64 years,114.2.5,685,,325,,365,
2021,Grand Bank,2021A00051002019,In the labour force,25 to 54 years,114.2.6,410,,190,,215,
2021,Grand Bank,2021A00051002019,In the labour force,25 to 34 years,114.2.7,75,,30,,45,
2021,Grand Bank,2021A00051002019,In the labour force,25 to 29 years,114.2.8,35,,15,,20,
2021,Grand Bank,2021A00051002019,In the labour force,30 to 34 years,114.2.9,45,,15,,30,
2021,Grand Bank,2021A00051002019,In the labour force,35 to 44 years,114.2.10,130,,50,,75,
2021,Grand Bank,2021A00051002019,In the labour force,45 to 54 years,114.2.11,205,,110,,95,
2021,Grand Bank,2021A00051002019,In the labour force,55 to 64 years,114.2.12,275,,130,,145,
2021,Grand Bank,2021A00051002019,In the labour force,65 years and over,114.2.13,60,,25,,30,
2021,Grand Bank,2021A00051002019,In the labour force,65 to 74 years,114.2.14,55,,25,,30,
