CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
Racine,2442032,54.7445,53.7879
Bonsecours,2442040,57.8125,59.0164
Lawrenceville,2442045,54.2373,54.386
Sainte-Anne-de-la-Rochelle,2442050,57.8125,57.8125
Valcourt,2442055,51.8692,52.2613
Valcourt,2442060,56.8627,57.732
Maricourt,2442065,61.9048,58.5366
Kingsbury,2442070,44.4444,44.4444
Melbourne,2442075,55.6604,56.4356
Ulverton,2442078,49.0196,48
Windsor,2442088,52.3256,52.686
Val-Joli,2442095,55.4945,55.3672
Richmond,2442098,55.627,55.0676
Saint-Claude,2442100,55.2846,53.4483
Cleveland,2442110,53.2847,53.4884
Sherbrooke,2443027,51.1411,51.1849
Saint-Malo,2444003,60.3448,59.6491
Saint-Venant-de-Paquette,2444005,33.3333,33.3333
East Hereford,2444010,54.8387,53.3333
Saint-Herménégilde,2444015,58.1081,57.971
Dixville,2444023,53.75,50.7042
Coaticook,2444037,52.7253,53.0162
Barnston-Ouest,2444045,53.0612,54.3478
Stanstead-Est,2444050,56.25,55.9322
Sainte-Edwidge-de-Clifton,2444055,65.625,66.129
Martinville,2444060,60.8696,60.8696
Compton,2444071,52.2857,52.3952
Waterville,2444080,53.4413,53.617
Stanstead,2445008,55.0201,54.5064
Ogden,2445020,56.5217,57.3529
Stanstead,2445025,52.7273,52.4752
Potton,2445030,51.3369,51.4286
Ayer's Cliff,2445035,49.2308,48.8
Hatley,2445043,60.5263,60.5263
North Hatley,2445050,57.6923,56
Hatley,2445055,50.2041,49.7872
Sainte-Catherine-de-Hatley,2445060,49.6403,50.1873
Magog,2445072,50.4947,50.4746
Austin,2445085,54.1667,54.717
Eastman,2445093,50,50.2304
Bolton-Est,2445095,53.4653,51.087
Saint-Étienne-de-Bolton,2445100,52.1127,55.3846
Stukely-Sud,2445105,53.6585,52.6786
Orford,2445115,51.8447,51.5152
Abercorn,2446005,47.0588,45.1613
Frelighsburg,2446010,55.4622,53.4483
Saint-Armand,2446017,52.1739,50.7937
Pike River,2446025,56.5217,53.3333
Stanbridge Station,2446030,51.7241,51.7241
Bedford,2446035,49.1667,49.7758
Bedford,2446040,50.6494,52
Stanbridge East,2446045,53.75,54.5455
Dunham,2446050,52.0725,51.6304
Sutton,2446058,51.0689,51.9084
Bolton-Ouest,2446065,56.7568,55.0725
Brome,2446070,53.3333,57.1429
Lac-Brome,2446075,51.2015,50.7813
Bromont,2446078,51.8182,51.7301
Cowansville,2446080,51.2635,50.8071
East Farnham,2446085,44.9275,46.2687
Brigham,2446090,50.9728,51.2397
Saint-Ignace-de-Stanbridge,2446095,51.2821,53.4247
Notre-Dame-de-Stanbridge,2446100,57.1429,57.377
Sainte-Sabine,2446105,58.8235,57.7586
Farnham,2446112,52.0693,52.1916
Saint-Alphonse-de-Granby,2447010,52.987,52.9255
Granby,2447017,52.1513,52.0358
Waterloo,2447025,50.7368,50.5669
Warden,2447030,43.75,46.4286
Shefford,2447035,53.9241,53.8259
Saint-Joachim-de-Shefford,2447040,51.3333,52.7397
Roxton Pond,2447047,53.8298,52.9412
Sainte-Cécile-de-Milton,2447055,53.5865,54.7511
Béthanie,2448005,61.1111,60.6061
Roxton Falls,2448010,50,50.8197
Roxton,2448015,54.918,53.0435
Sainte-Christine,2448020,58.209,61.6667
Acton Vale,2448028,52.431,52.0337
Upton,2448038,53.0172,52.9148
Saint-Théodore-d'Acton,2448045,57.7381,56.5217
Saint-Nazaire-d'Acton,2448050,58.1633,57.8947
Saint-Félix-de-Kingsey,2449005,56.6879,56.7376
Durham-Sud,2449015,54.1284,54
Lefebvre,2449020,53.9216,55.6701
L'Avenir,2449025,51.0949,50
Saint-Lucien,2449030,54.0816,52.4324
Wickham,2449040,56.1404,56.3177
Saint-Germain-de-Grantham,2449048,52.4911,52.1495
Drummondville,2449058,52.5846,52.7437
Saint-Cyrille-de-Wendover,2449070,52.8864,52.4366
Notre-Dame-du-Bon-Conseil,2449075,50.5952,51.5337
Notre-Dame-du-Bon-Conseil,2449080,55.914,53.9326
Sainte-Brigitte-des-Saults,2449085,54.9296,55.2239
Saint-Majorique-de-Grantham,2449095,53.7931,53.9568
Saint-Edmond-de-Grantham,2449100,61.4458,59.7403
Saint-Eugène,2449105,52.381,52.0661
Saint-Guillaume,2449113,54.8387,54.3624
Saint-Bonaventure,2449125,57.2727,58.6538
Saint-Pie-de-Guire,2449130,54.5455,55.102
Sainte-Eulalie,2450005,55.2381,55.102
Aston-Jonction,2450013,56.8182,53.4884
Saint-Wenceslas,2450023,53.5714,52.2523
Saint-Célestin,2450030,55.6818,56.9767
Saint-Célestin,2450035,60.8696,61.5385
Saint-Léonard-d'Aston,2450042,52.4345,52.4715
Sainte-Perpétue,2450050,55.8824,57.2917
Sainte-Monique,2450057,57.8947,58.1818
Grand-Saint-Esprit,2450065,55.5556,55
Nicolet,2450072,49.7531,50
La Visitation-de-Yamaska,2450085,51.6129,53.3333
Saint-Zéphirin-de-Courval,2450090,60.9756,62.5
Saint-Elphège,2450095,54.1667,54.1667
Baie-du-Febvre,2450100,54,55.2083
Pierreville,2450113,53.8462,54.3956
Saint-François-du-Lac,2450128,54.8913,54.0698
Odanak,2450802,49.0196,45.8333
Maskinongé,2451008,49.115,49.7653
Louiseville,2451015,52.2581,52.5305
Yamachiche,2451020,54.1667,53.7313
Saint-Barnabé,2451025,54.3103,53.271
Saint-Sévère,2451030,48.5714,54.8387
Saint-Léon-le-Grand,2451035,59.375,57.1429
Sainte-Ursule,2451040,52.8169,52.9412
Saint-Justin,2451045,56.4706,56.0976
Saint-Édouard-de-Maskinongé,2451050,61.4286,62.1212
Sainte-Angèle-de-Prémont,2451055,56.6038,56.25
Saint-Paulin,2451060,53.0201,52.1429
Saint-Alexis-des-Monts,2451065,54.8246,54.902
Saint-Mathieu-du-Parc,2451070,52.4138,52.2388
Saint-Élie-de-Caxton,2451075,54.7368,54.6512
Charette,2451080,58.2524,57.2917
Saint-Boniface,2451085,52.6718,52.5794
Saint-Étienne-des-Grès,2451090,53.6325,53.1963
Lavaltrie,2452007,53.3203,53.1856
Lanoraie,2452017,52.3438,53.0146
Sainte-Élisabeth,2452030,54.0373,52.9412
Berthierville,2452035,52.9126,52.4051
Sainte-Geneviève-de-Berthier,2452040,55.5085,56
Saint-Ignace-de-Loyola,2452045,52.1531,51.7766
La Visitation-de-l'Île-Dupas,2452050,57.7465,57.3529
Saint-Barthélemy,2452055,55.5556,55.1546
Saint-Cuthbert,2452062,55.8011,54.386
Saint-Norbert,2452070,52.8846,50.5263
Saint-Cléophas-de-Brandon,2452075,58.3333,54.5455
Saint-Gabriel,2452080,52.7273,50
Saint-Gabriel-de-Brandon,2452085,54.9618,55.3279
Saint-Didace,2452090,60.6557,58.4906
Mandeville,2452095,53.211,55.0265
Saint-David,2453005,53.4091,53.5714
Massueville,2453010,58.9286,58
Saint-Aimé,2453015,54,56.5217
Saint-Robert,2453020,56.4246,55.6886
Sainte-Victoire-de-Sorel,2453025,54.8507,55.5556
Saint-Ours,2453032,54.4379,53.125
Saint-Roch-de-Richelieu,2453040,54.3974,55.1724
Saint-Joseph-de-Sorel,2453050,56.7568,54.8387
Sorel-Tracy,2453052,51.9231,51.7541
Sainte-Anne-de-Sorel,2453065,53.1365,53.1008
Yamaska,2453072,57.3099,56.9697
Saint-Gérard-Majella,2453085,64.7059,68.75
Saint-Pie,2454008,55.1416,55.6604
Saint-Damase,2454017,56.6308,57.3034
Sainte-Madeleine,2454025,53.9924,54.4355
Sainte-Marie-Madeleine,2454030,54.2522,54.4073
La Présentation,2454035,53.7736,53.1353
Saint-Hyacinthe,2454048,51.5554,51.6003
Saint-Dominique,2454060,53.6741,54.0268
Saint-Valérien-de-Milton,2454065,53.202,54.4041
Saint-Liboire,2454072,53.9548,54.0059
Saint-Simon,2454090,54,54.5455
Sainte-Hélène-de-Bagot,2454095,53.1915,53.2967
Saint-Hugues,2454100,56.25,56.2092
Saint-Barnabé-Sud,2454105,56.4356,58.0645
Saint-Jude,2454110,51.0949,50.7937
Saint-Bernard-de-Michaudville,2454115,57.7465,57.7465
Saint-Louis,2454120,54.4304,57.3333
Saint-Marcel-de-Richelieu,2454125,58.3333,63.4146
Ange-Gardien,2455008,52.994,53.4161
Saint-Paul-d'Abbotsford,2455015,54.5455,54.0541
Saint-Césaire,2455023,54.1176,53.4992
Sainte-Angèle-de-Monnoir,2455030,52.4272,53.2995
Rougemont,2455037,53.4722,53.9568
Marieville,2455048,51.44,51.4694
Richelieu,2455057,53.0988,52.9825
Saint-Mathias-sur-Richelieu,2455065,50.8911,51.0246
Venise-en-Québec,2456005,56.4706,56.4935
Saint-Georges-de-Clarenceville,2456010,62.1359,62.6374
Noyan,2456015,60.1449,59.6899
Lacolle,2456023,50.53,51.4925
Saint-Valentin,2456030,58.3333,58.3333
Saint-Paul-de-l'Île-aux-Noix,2456035,54.8837,55.122
Henryville,2456042,55.8621,57.1429
Saint-Sébastien,2456050,54.2169,51.3158
Saint-Alexandre,2456055,53.8206,53.4483
Sainte-Anne-de-Sabrevois,2456060,53.0864,54.4248
Saint-Blaise-sur-Richelieu,2456065,53.5088,52.9954
Saint-Jean-sur-Richelieu,2456083,51.6982,51.5745
Mont-Saint-Grégoire,2456097,52.5836,53.0159
Sainte-Brigide-d'Iberville,2456105,54.7059,54.491
Chambly,2457005,49.9577,49.8227
Carignan,2457010,52.8017,52.8788
Saint-Basile-le-Grand,2457020,51.0831,50.6349
McMasterville,2457025,49.9232,49.4346
Otterburn Park,2457030,50.9645,50.9574
Saint-Jean-Baptiste,2457033,54.1436,54.1787
Mont-Saint-Hilaire,2457035,50.674,50.557
Beloeil,2457040,51.0109,51.2474
Saint-Mathieu-de-Beloeil,2457045,52.2936,52.5157
Saint-Marc-sur-Richelieu,2457050,54.9618,55.1587
Saint-Charles-sur-Richelieu,2457057,51.0526,51.0753
Saint-Denis-sur-Richelieu,2457068,55.0388,54.661
Saint-Antoine-sur-Richelieu,2457075,56.1224,55.5556
Brossard,2458007,51.9171,51.9644
Saint-Lambert,2458012,49.1413,49.0076
Boucherville,2458033,50.5454,50.5632
Saint-Bruno-de-Montarville,2458037,50.4248,50.427
Longueuil,2458227,51.494,51.5516
Sainte-Julie,2459010,49.9273,49.8627
Saint-Amable,2459015,51.7483,51.9411
Varennes,2459020,50.2712,50.0871
Verchères,2459025,50.727,51.0998
Calixa-Lavallée,2459030,55.3191,53.3333
Contrecoeur,2459035,52.3,52.5532
Charlemagne,2460005,52.0362,52.1739
Repentigny,2460013,50.3578,50.2615
Saint-Sulpice,2460020,51.5075,51.1811
L'Assomption,2460028,51.8156,52.086
L'Épiphanie,2460037,52.572,51.8272
Saint-Paul,2461005,51.046,51.4535
Crabtree,2461013,51.4354,51.3995
Saint-Pierre,2461020,59.2593,57.6923
Joliette,2461025,51.0718,51.1111
Saint-Thomas,2461027,53.6193,52.8571
Notre-Dame-des-Prairies,2461030,49.5614,49.6487
Saint-Charles-Borromée,2461035,48.1451,48.3126
Saint-Ambroise-de-Kildare,2461040,52.5463,52.0581
Notre-Dame-de-Lourdes,2461045,54.7401,54.2373
Sainte-Mélanie,2461050,52.3952,51.7134
Saint-Félix-de-Valois,2462007,51.3788,50.9924
Saint-Jean-de-Matha,2462015,53.5963,53
Sainte-Béatrix,2462020,56.2189,57.5419
Saint-Alphonse-Rodriguez,2462025,52.9968,52.4823
Sainte-Marcelline-de-Kildare,2462030,51.8519,50.8571
Rawdon,2462037,51.6279,51.1066
Chertsey,2462047,58.6813,57.2115
Entrelacs,2462053,54.2056,52.5773
Notre-Dame-de-la-Merci,2462055,53.6842,52.439
Saint-Donat,2462060,54.2636,52.9412
Saint-Côme,2462065,47.0588,46.5909
Sainte-Émélie-de-l'Énergie,2462070,55.0725,57.7236
Saint-Damien,2462075,58.4906,58.4615
Saint-Zénon,2462080,57.1429,55.6604
Saint-Michel-des-Saints,2462085,56.1905,57.3684
Communauté Atikamekw de Manawan,2462802,57.8947,57.5221
Saint-Guillaume-Nord,2462912,44.4444,42.8571
Sainte-Marie-Salomé,2463005,51.5625,53.3898
Saint-Jacques,2463013,51.6484,51.8433
Saint-Alexis,2463023,49.6732,50
Saint-Esprit,2463030,56.2232,56.8182
Saint-Roch-de-l'Achigan,2463035,53.3217,53.2348
Saint-Roch-Ouest,2463040,51.7241,44.8276
Saint-Lin--Laurentides,2463048,53.5377,53.7332
Saint-Calixte,2463055,57.03,56.5445
Sainte-Julienne,2463060,53.6155,53.8462
Saint-Liguori,2463065,54.0909,54.2453
Terrebonne,2464008,50.9411,50.8755
Mascouche,2464015,50.3434,50.2503
Laval,2465005,51.3825,51.2928
Montréal-Est,2466007,53.3769,53.222
Montréal,2466023,51.9351,51.7789
Westmount,2466032,50.9835,50.6912
Montréal-Ouest,2466047,51.9097,52.7619
Côte-Saint-Luc,2466058,51.1577,51.4883
Hampstead,2466062,52.075,52.43
Mont-Royal,2466072,51.7866,52.2317
Dorval,2466087,52.0128,52.0387
Pointe-Claire,2466097,50.4593,50.5179
Kirkland,2466102,51.941,51.8697
Beaconsfield,2466107,51.6633,52.1739
Baie-D'Urfé,2466112,52.3936,54.386
Sainte-Anne-de-Bellevue,2466117,51.8851,50.7937
Senneville,2466127,55.102,53.4884
Dollard-Des Ormeaux,2466142,51.9608,52.207
Saint-Mathieu,2467005,54.7893,53.7849
Saint-Philippe,2467010,50.5119,50.7177
La Prairie,2467015,51.0682,51.1739
Candiac,2467020,51.1129,51.3907
Delson,2467025,51.7954,51.5499
Sainte-Catherine,2467030,50.0777,50.3293
Saint-Constant,2467035,50.4953,50.5545
Saint-Isidore,2467040,55.4098,56.0811
Mercier,2467045,51.6708,51.7915
Châteauguay,2467050,51.3028,51.2221
Léry,2467055,51.6729,51.938
Saint-Bernard-de-Lacolle,2468005,49.7006,50
Hemmingford,2468010,50,50
Hemmingford,2468015,53.1579,53.8043
Sainte-Clotilde,2468020,52.0179,51.7073
Saint-Patrice-de-Sherrington,2468025,56.9565,57.6744
Napierville,2468030,53.3175,53.0151
Saint-Cyprien-de-Napierville,2468035,52.8497,52.6882
Saint-Jacques-le-Mineur,2468040,53.3654,53.6946
Saint-Édouard,2468045,58.125,58.6667
Saint-Michel,2468050,49.7487,49.2147
Saint-Rémi,2468055,51.7241,51.4908
Havelock,2469005,58.3333,59.7015
Franklin,2469010,54.6584,54.0541
Saint-Chrysostome,2469017,55.8935,55.4217
Howick,2469025,51.1628,53.1646
Très-Saint-Sacrement,2469030,53.4351,54.4
Ormstown,2469037,53.0612,53.8462
Hinchinbrooke,2469045,53.4247,53.3654
Elgin,2469050,61.9048,61.1111
Huntingdon,2469055,49.0385,48.4043
Godmanchester,2469060,54.4828,52.2388
Sainte-Barbe,2469065,57.3171,56.7742
Saint-Anicet,2469070,56.0606,55.7851
Dundee,2469075,55.5556,54.8387
Saint-Urbain-Premier,2470005,53.6913,51.0638
Sainte-Martine,2470012,49.3464,48.9865
Beauharnois,2470022,52.1374,51.7524
Saint-Étienne-de-Beauharnois,2470030,54.0323,54.1667
Saint-Louis-de-Gonzague,2470035,50.4808,50.4902
Saint-Stanislas-de-Kostka,2470040,53.4392,53.4091
Salaberry-de-Valleyfield,2470052,52.4927,52.346
Rivière-Beaudette,2471005,56.3433,56.8093
Saint-Télesphore,2471015,55.0725,57.8125
Saint-Polycarpe,2471020,54.4747,54.0323
Saint-Zotique,2471025,51.4231,50.8492
Les Coteaux,2471033,49.6894,49.5948
Coteau-du-Lac,2471040,51.2315,51.0363
Saint-Clet,2471045,53.5354,53.4031
Les Cèdres,2471050,53.066,52.5277
Pointe-des-Cascades,2471055,49.7561,50.2591
L'Île-Perrot,2471060,51.5576,51.5101
Notre-Dame-de-l'Île-Perrot,2471065,51,50.9312
Pincourt,2471070,49.7857,49.7333
Terrasse-Vaudreuil,2471075,50,49.2683
Vaudreuil-Dorion,2471083,51.4627,51.3228
Vaudreuil-sur-le-Lac,2471090,50.7042,52.7559
L'Île-Cadieux,2471095,50,42.8571
Hudson,2471100,53.578,53.9683
Saint-Lazare,2471105,51.3398,51.2609
Sainte-Marthe,2471110,50.3817,49.6
Sainte-Justine-de-Newton,2471115,54.2056,55.3398
Très-Saint-Rédempteur,2471125,60.5263,59.633
Rigaud,2471133,54.0049,54.3307
Pointe-Fortune,2471140,51.7241,50.9091
Saint-Eustache,2472005,51.47,51.1846
Deux-Montagnes,2472010,51.1711,51.087
Sainte-Marthe-sur-le-Lac,2472015,51.3103,51.43
Pointe-Calumet,2472020,53.4752,53.5338
Saint-Joseph-du-Lac,2472025,53.2663,53.1208
Oka,2472032,51.3189,51.4139
Saint-Placide,2472043,56.8182,53.7037
Boisbriand,2473005,51.6108,51.7313
Sainte-Thérèse,2473010,51.0007,50.8521
Blainville,2473015,50.9709,51.036
Rosemère,2473020,50.6649,50.7824
Lorraine,2473025,51.2148,51.7314
Bois-des-Filion,2473030,49.1409,49.4959
Sainte-Anne-des-Plaines,2473035,52.875,52.5333
Mirabel,2474005,50.7874,50.9588
Saint-Colomban,2475005,53.827,53.7047
Saint-Jérôme,2475017,50.7679,51.0449
Sainte-Sophie,2475028,53.5329,53.7741
Prévost,2475040,50.3724,50.3971
Saint-Hippolyte,2475045,53.6606,53.722
Saint-André-d'Argenteuil,2476008,55.1282,54.5763
Lachute,2476020,52.5452,52.1855
Gore,2476025,54.6256,53.3333
Mille-Isles,2476030,53.4884,53.1646
Wentworth,2476035,54.8387,51.7241
Brownsburg-Chatham,2476043,52.5239,52.3238
Grenville-sur-la-Rouge,2476052,54.9828,55.7692
Grenville,2476055,49.7076,52.5641
Harrington,2476065,46.2687,52
Estérel,2477011,65.2174,65.2174
Sainte-Marguerite-du-Lac-Masson,2477012,51.875,52.7027
Sainte-Adèle,2477022,51.3194,51.2977
Piedmont,2477030,51.1173,52.2152
Sainte-Anne-des-Lacs,2477035,52.1845,52.7273
Saint-Sauveur,2477043,50.7996,50.6211
Morin-Heights,2477050,52.4109,52.9545
Lac-des-Seize-Îles,2477055,50,50
Wentworth-Nord,2477060,59.0062,58.3942
Saint-Adolphe-d'Howard,2477065,53.6785,51.5432
Val-Morin,2478005,51.9608,52.3636
Val-David,2478010,50.9124,50
Lantier,2478015,51.3158,48.5714
Sainte-Lucie-des-Laurentides,2478020,54.1667,53.9683
Sainte-Agathe-des-Monts,2478032,51.0659,51.0707
Ivry-sur-le-Lac,2478042,54.3478,53.3333
Saint-Faustin--Lac-Carré,2478047,52.9412,52.1739
Barkmere,2478050,100,100
Montcalm,2478055,56.5217,57.1429
Arundel,2478060,60.7843,58.1395
Huberdeau,2478065,51.1364,52.6316
Amherst,2478070,54.2484,54.6154
Brébeuf,2478075,51.7857,51.9608
Lac-Supérieur,2478095,51.8018,52.5
Val-des-Lacs,2478100,54.0541,53.6232
Mont-Tremblant,2478102,53.211,52.7426
La Conception,2478115,45.7317,45.3237
Labelle,2478120,55.9259,55.8704
Lac-Tremblant-Nord,2478127,62.5,62.5
La Minerve,2478130,50.9091,53.6842
Notre-Dame-du-Laus,2479005,48.8372,47.4576
Notre-Dame-de-Pontmain,2479010,61.9048,60.7143
Lac-du-Cerf,2479015,53.125,60.7143
Saint-Aimé-du-Lac-des-Îles,2479022,56.25,53.4247
Kiamika,2479025,53.6232,55.3846
Nominingue,2479030,48.538,49.3506
Rivière-Rouge,2479037,51.9886,51.8634
La Macaza,2479047,56.6265,54.6875
L'Ascension,2479050,55.2632,56.6667
Lac-Saguay,2479060,56.7568,54.5455
Chute-Saint-Philippe,2479065,53.9474,53.8462
Lac-des-Écorces,2479078,50,51.25
Mont-Laurier,2479088,51.0933,51.3302
Ferme-Neuve,2479097,53.5714,52.7027
Lac-Saint-Paul,2479105,56.0976,51.4286
Mont-Saint-Michel,2479110,51.8519,50
Sainte-Anne-du-Lac,2479115,47.8261,43.5897
Fassett,2480005,50,44.1176
Montebello,2480010,46.1538,46.3415
Notre-Dame-de-Bonsecours,2480015,59.375,56.25
Notre-Dame-de-la-Paix,2480020,50.9091,50
Saint-André-Avellin,2480027,51.0703,49.8258
Papineauville,2480037,50.2326,51.0204
Plaisance,2480045,51.8182,49.4949
Thurso,2480050,51.9481,53.2609
Lochaber,2480055,50,57.5758
Lochaber-Partie-Ouest,2480060,54.4554,52.6316
Mayo,2480065,53.9474,52.7778
Saint-Sixte,2480070,55.5556,51.2821
Ripon,2480078,55.3459,55.1724
Mulgrave-et-Derry,2480085,55.5556,55.814
Montpellier,2480090,56.044,62.1622
Lac-Simon,2480095,55.5556,54.1667
Chénéville,2480103,55.1282,56.9444
Namur,2480110,55.814,55.2632
Boileau,2480115,64.5161,66.6667
Saint-Émile-de-Suffolk,2480125,51.1111,50
Lac-des-Plages,2480130,52.9412,46.6667
Duhamel,2480135,50,50
Val-des-Bois,2480140,52.6316,51.5152
Bowman,2480145,58.3333,58.1395
Gatineau,2481017,50.66,50.6386
L'Ange-Gardien,2482005,53.6127,54.2113
Notre-Dame-de-la-Salette,2482010,53.6842,52.1739
Val-des-Monts,2482015,53.8513,53.8462
Cantley,2482020,51.8127,51.7186
Chelsea,2482025,50.4505,50.7803
Pontiac,2482030,53.4268,53.7563
La Pêche,2482035,52.5109,52.2701
Denholm,2483005,53.8462,56
Low,2483010,53.271,50.5376
Kazabazua,2483015,56.044,47.9452
Lac-Sainte-Marie,2483020,62.1212,62.1212
Gracefield,2483032,54.902,53.6842
Cayamant,2483040,61.1111,60.4167
Blue Sea,2483045,53.4483,53.7037
Bouchette,2483050,49.2958,45.1613
Sainte-Thérèse-de-la-Gatineau,2483055,56.6038,57.4468
Messines,2483060,47.651,48.2014
Maniwaki,2483065,51.8634,50.5085
Déléage,2483070,54.5455,53.4591
Egan-Sud,2483075,52.8302,55.102
Bois-Franc,2483085,55.3191,56.8182
Montcerf-Lytton,2483088,53.4483,48.9796
Aumond,2483090,59.0909,61.1111
Grand-Remous,2483095,49.5238,51.5464
Kitigan Zibi,2483802,42.5532,40.7895
Bristol,2484005,54.4554,53.6842
Shawville,2484010,51.1811,50.8333
Clarendon,2484015,53.5484,53.9007
Portage-du-Fort,2484020,45,43.75
Bryson,2484025,54.7619,55.2632
Campbell's Bay,2484030,56.25,51.7241
L'Île-du-Grand-Calumet,2484035,63.9344,66.6667
Litchfield,2484040,51.7241,52
Thorne,2484045,53.5714,53.5714
Alleyn-et-Cawood,2484050,55.5556,57.1429
Otter Lake,2484055,47.2973,48.5294
Fort-Coulonge,2484060,53.5714,54.7368
Mansfield-et-Pontefract,2484065,54.4503,54.4444
Waltham,2484070,53.125,50
L'Isle-aux-Allumettes,2484082,54.3307,55
Chichester,2484090,53.125,53.3333
Sheenboro,2484095,41.6667,50
Rapides-des-Joachims,2484100,50,55.5556
Témiscaming,2485005,54.4554,54.5946
Kipawa,2485010,55.8824,57.5758
Saint-Édouard-de-Fabre,2485015,56.25,55
Béarn,2485020,56,56.7568
Ville-Marie,2485025,48.1308,47.4747
Duhamel-Ouest,2485030,54.9451,52.8736
Lorrainville,2485037,50.7692,50.8197
Saint-Bruno-de-Guigues,2485045,53.125,52.5
Laverlochère-Angliers,2485052,50.5051,50
Fugèreville,2485055,65.2174,66.6667
Latulipe-et-Gaboury,2485060,57.1429,55.5556
Belleterre,2485065,50,52.9412
Laforce,2485070,46.4286,46.1538
Moffet,2485075,64.2857,57.1429
Saint-Eugène-de-Guigues,2485085,53.0612,53.3333
Notre-Dame-du-Nord,2485090,54.9451,50.6024
Guérin,2485095,60,54.0541
Nédélec,2485100,59.0909,58.5366
Rémigny,2485105,60,54.1667
Kebaowek,2485802,50,53.3333
Winneway,2485804,53.8462,45.4545
Timiskaming,2485806,47.8261,48.7179
Laniel,2485905,50,50
Rouyn-Noranda,2486042,53.3228,53.0525
Duparquet,2487005,63.1579,62.2642
Rapide-Danseur,2487010,55.8824,58.0645
Roquemaure,2487015,57.1429,53.6585
Gallichan,2487020,53.3333,53.5714
Palmarolle,2487025,55.5556,54.7945
Sainte-Germaine-Boulé,2487030,47.8261,47.191
Poularies,2487035,50,50.9804
Taschereau,2487042,60.2564,59.4595
Authier,2487050,56.5217,55
Macamic,2487058,54.4355,53.7445
Sainte-Hélène-de-Mancebourg,2487070,52.7778,55.8824
Clerval,2487075,56.6667,57.6923
La Reine,2487080,64.2857,61.5385
Dupuy,2487085,57.5758,55.2083
La Sarre,2487090,52.1994,51.8692
Chazel,2487095,62.5,62.5
Authier-Nord,2487100,60,58.0645
Val-Saint-Gilles,2487105,55.5556,55.5556
Clermont,2487110,56.3636,52.8302
Normétal,2487115,62.3188,64.6154
Saint-Lambert,2487120,56.25,60
Rivière-Ojima,2487904,100,100
Champneuf,2488005,70,85.7143
Rochebaucourt,2488010,53.8462,53.8462
La Morandière,2488015,56.5217,60
Barraute,2488022,50.9901,50.2674
La Corne,2488030,57.732,57.4468
Landrienne,2488035,53.7634,54.4444
Saint-Marc-de-Figuery,2488040,50,47.9167
La Motte,2488045,56.0976,56.0976
Saint-Mathieu-d'Harricana,2488050,56.7901,57.6923
Amos,2488055,50.5618,49.9203
Saint-Félix-de-Dalquier,2488060,54.5455,54.8077
Saint-Dominique-du-Rosaire,2488065,54.5455,51.5152
Berry,2488070,62.2222,60.9756
Trécesson,2488075,53.4884,52.1008
Launay,2488080,60.8696,65
Sainte-Gertrude-Manneville,2488085,51.8072,53.2468
Preissac,2488090,54.3689,53.0612
Pikogan,2488802,50,48.6486
Lac-Chicobi,2488904,40,40
Val-d'Or,2489008,53.2782,53.0886
Rivière-Héva,2489010,55.3459,53.9474
Malartic,2489015,52.2255,51.1041
Senneterre,2489040,56.0976,54.5455
Senneterre,2489045,61.4754,59.8131
Belcourt,2489050,42.8571,45
Kitcisakik,2489802,57.1429,58.8235
Lac Simon,2489804,55.1724,54.902
La Tuque,2490012,53.0242,53.0878
La Bostonnais,2490017,48.2143,50.9434
Lac-Édouard,2490027,42.1053,38.8889
Communauté de Wemotaci,2490802,55.1282,55.4054
Obedjiwan 28,2490804,55,54.2553
Lac-Bouchette,2491005,63.2075,58.8235
Saint-André-du-Lac-Saint-Jean,2491010,57.7778,52.381
Saint-François-de-Sales,2491015,53.4483,49.0566
Chambord,2491020,55.9748,55.1948
Roberval,2491025,49.3685,49.6947
Sainte-Hedwidge,2491030,47.619,49.3506
Saint-Prime,2491035,52.9412,53.3333
Saint-Félicien,2491042,53.0488,51.8438
La Doré,2491050,57.4803,54.7009
Mashteuiatsh,2491802,51.5464,50.5882
Saint-Augustin,2492005,60.6061,64.2857
Péribonka,2492010,62.5,59.0909
Sainte-Jeanne-d'Arc,2492015,53.4483,52.381
Dolbeau-Mistassini,2492022,53.1546,53.1915
Albanel,2492030,58.5903,58.1081
Normandin,2492040,55.7432,57.0397
Saint-Thomas-Didyme,2492045,48.0769,48.9796
Saint-Edmond-les-Plaines,2492050,51.4286,51.5152
Girardville,2492055,53.5354,52.7473
Notre-Dame-de-Lorette,2492060,69.2308,58.3333
Saint-Eugène-d'Argentenay,2492065,58.8235,58
Saint-Stanislas,2492070,53.8462,51.5152
Passes-Dangereuses,2492902,52.381,52.381
Desbiens,2493005,54.5455,54.4304
Métabetchouan--Lac-à-la-Croix,2493012,54.7684,55.3623
Hébertville,2493020,54.1667,52.988
Hébertville-Station,2493025,49.6296,48.4615
Saint-Bruno,2493030,53.3333,53.5948
Saint-Gédéon,2493035,54.2986,52.1531
Alma,2493042,53.1099,52.6815
Saint-Nazaire,2493045,59.447,58.2524
Labrecque,2493055,50.8065,51.2821
Lamarche,2493060,58.9744,56.7568
L'Ascension-de-Notre-Seigneur,2493065,55.102,55.914
Saint-Henri-de-Taillon,2493070,56.7164,57.6271
Sainte-Monique,2493075,55.1724,54.1176
